TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
23-08-2019,24,34.2,27.7,72,0,8.5,6,150,3,SE
24-08-2019,24,34,27.8,71,0,8.5,5,100,3,SE
25-08-2019,24,34.1,27.9,73,0,8.6,5,110,3,SE
26-08-2019,24,33.9,28.7,71,0,8.5,4,110,2,SE
27-08-2019,25,33.4,28.4,71,0,8.5,5,160,3,S 
28-08-2019,24,33.2,27.6,70,0,8,7,150,3,SE
29-08-2019,24,33,27.6,71,0,7.6,7,120,4,SE
30-08-2019,24,32.9,27.3,70,0,8.2,9,130,3,SE
31-08-2019,23,33.5,27.8,67,0,8.4,6,150,3,SE
1/9/2019,24,34.6,28.1,69,0,8.2,6,150,3,SE
2/9/2019,24,33.9,28.1,71,0,8,4,60,3,SE
3/9/2019,25,33.9,28.9,70,0,8.6,4,130,2,SE
4/9/2019,24,33,27.2,68,0,6.5,5,120,3,SE
5/9/2019,22,33.2,27.2,66,0,8.3,4,140,3,SE
6/9/2019,23,34.2,27.9,66,0,8.7,4,130,2,SE
7/9/2019,23,34.5,27.8,68,0,8.5,6,150,2,SE
8/9/2019,23,34.5,28.2,66,0,8.5,6,160,2,S 
9/9/2019,25,34.2,28.9,65,0,8.7,8,140,3,SE
10/9/2019,26,35.3,29.8,60,0,8.8,6,140,4,SE
11/9/2019,24,33.8,27.9,71,0,9,6,150,2,SE
12/9/2019,23,32.5,27.3,64,0,8.3,7,170,3,SE
13-09-2019,23,33.6,27.3,66,0,8.9,6,160,2,SE
14-09-2019,24,33.2,27.9,70,0,8.9,7,150,3,SE
15-09-2019,25,32.8,28,71,0,8.7,6,140,3,SE
16-09-2019,25,33.7,28.8,70,0,8.3,7,130,4,SE
17-09-2019,26,34.2,29.3,69,0,8.6,7,90,3,SE
18-09-2019,26,33.8,28.7,68,0,8,9,130,4,SE
19-09-2019,24,34.1,28.4,67,0,8.7,7,140,3,SE
20-09-2019,24,34.8,28.5,66,0,8.5,6,150,3,SE
21-09-2019,24,34.3,28,71,0,8.7,5,190,2,SE
22-09-2019,24,35,28.2,70,0,8.6,7,150,3,SE
23-09-2019,25,33.3,28.1,70,0,8.7,8,160,5,S 
24-09-2019,25,33.9,29.2,70,0,8.6,6,160,4,SE
25-09-2019,26,34.6,29.3,70,0,8.7,6,150,3,SE
26-09-2019,26,34.8,29.6,70,0,8.7,7,150,3,SE
27-09-2019,25,34.8,29.1,70,0,8.7,7,130,3,SE
28-09-2019,26,35,30,68,0,8.4,6,150,3,SE
29-09-2019,26,34.6,29.5,66,0,8.8,6,120,3,S 
30-09-2019,24,35,28.9,68,0,8.9,6,140,3,SE
1/10/2019,24,35.4,29.1,66,0,8.7,6,160,3,SE
2/10/2019,25,34.7,29.1,70,0,8.8,6,160,3,SE
3/10/2019,25,36,30,68,0,8.8,7,140,3,SE
4/10/2019,25,35.8,29.6,65,0,8.4,7,130,3,SE
5/10/2019,24,35.8,28.7,62,0,8.9,7,140,3,S 
6/10/2019,24,34.2,29.1,64,0,8.7,8,130,3,SE
7/10/2019,25,35.8,29.6,69,0,8.8,5,120,2,S 
8/10/2019,26,35.6,30.3,64,0,8.5,6,130,3,SE
9/10/2019,26,34.9,29.9,68,0,8.8,6,150,3,SE
10/10/2019,27,35.9,30.1,68,0,8.9,7,150,3,SE
11/10/2019,26,36,30.5,67,0,8.9,5,140,3,SE
12/10/2019,26,36.5,30.5,63,0,8.8,5,120,2,E 
13-10-2019,25,35.8,30,66,0,8.9,5,160,1,C 
14-10-2019,26,36.2,30.5,64,0,8.8,5,140,2,SE
